City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,pedernales,18.0384,-71.744,27.22,61,1,0.83,DO,1738416913
295,muroto-misakicho,33.2833,134.15,10.21,85,100,11.27,JP,1738416914
296,mata-utu,-13.2816,-176.1745,27.65,78,98,5.46,WF,1738416915
297,maceio,-9.6658,-35.7353,29.69,65,75,4.63,BR,1738416906
298,udachny,66.4167,112.4,-31.8,100,99,2.7,RU,1738416917
299,santa rosa,14.3122,121.1114,27.99,90,60,3.8,PH,1738416828
300,mananjary,-21.2167,48.3333,28.41,80,93,3.56,MG,1738416920
301,ciudad rodrigo,40.6,-6.5333,10.41,76,100,3.09,ES,1738416921
302,santana,-0.0583,-51.1817,25.1,94,100,2.57,BR,1738416922
303,balkanabat,39.5108,54.3671,8.4,41,5,3.85,TM,1738416923
304,caucete,-31.6518,-68.2811,32.22,32,0,1.9,AR,1738416924
305,tralee,52.2704,-9.7026,12.14,94,75,7.2,IE,1738416925
306,rawson,-43.3002,-65.1023,18.16,59,0,5.66,AR,1738416927
307,ebon,4.582,168.6964,26.91,82,100,8.24,MH,1738416928
308,mumford,5.2618,-0.759,28.39,69,24,5.19,GH,1738416930
309,jayapura,-2.5333,140.7,25.66,90,100,1.68,ID,1738416931
310,lent'ekhi,42.7856,42.7261,3.71,88,57,0.74,GE,1738416932
311,puerto armuelles,8.2833,-82.8667,25.61,88,100,2.24,PA,1738416934
312,kralendijk,12.15,-68.2667,27.99,74,40,8.75,BQ,1738416710
313,valle de banderas,20.8,-105.2333,16.45,100,0,1.03,MX,1738416936
314,nuuk,64.1835,-51.7216,-5.66,79,75,4.63,GL,1738416678
315,sogndal,61.2283,7.1003,-1.79,63,100,0.0,NO,1738416938
316,papao,-17.75,-149.55,26.82,75,100,6.46,PF,1738416940
317,vorkuta,67.5,64.0,-18.7,95,97,2.42,RU,1738416941
318,kota tinggi,1.7381,103.8999,26.13,86,100,1.41,MY,1738416942
319,francistown,-21.17,27.5079,30.38,42,94,6.67,BW,1738416943
320,hachinohe,40.5,141.5,-1.48,72,95,2.79,JP,1738416944
321,westport,41.1415,-73.3579,1.87,78,75,7.2,US,1738416945
322,seven pagodas,12.6264,80.1722,25.39,84,16,4.2,IN,1738416947
323,ponta delgada,37.7333,-25.6667,18.44,88,75,8.75,PT,1738416948
324,rikaze,29.25,88.8833,4.04,11,2,2.18,CN,1738416949
325,ondjiva,-17.0667,15.7333,36.07,17,27,2.94,AO,1738416950
326,port nelson,23.6333,-74.8333,24.79,81,100,6.39,BS,1738416953
327,merizo village,13.2658,144.6691,27.31,83,30,9.96,GU,1738416954
328,kayangel,8.0823,134.7173,28.35,74,100,10.5,PW,1738416955
329,wakkanai,45.4094,141.6739,-2.77,63,100,4.76,JP,1738416956
330,walvis bay,-22.9575,14.5053,21.67,68,28,9.43,NA,1738416958
331,phalaborwa,-23.943,31.1411,34.45,40,63,2.24,ZA,1738416959
332,swan hill,-35.3378,143.5544,30.31,29,1,4.81,AU,1738416960
333,mazabuka,-15.856,27.748,25.9,68,73,2.06,ZM,1738416961
334,utrik,11.2278,169.8474,26.13,70,52,8.55,MH,1738416962
335,colonia,50.9333,6.95,7.73,61,0,2.57,DE,1738416964
336,krasnoslobodsk,48.7072,44.5714,3.9,81,75,3.0,RU,1738416965
337,drobeta-turnu severin,44.6319,22.6561,13.89,38,9,4.2,RO,1738416966
338,berezovyy,51.6667,135.7,-19.58,98,100,0.86,RU,1738416967
339,mahibadhoo,3.7833,72.9667,27.98,77,100,4.59,MV,1738416970
340,mejit,10.2753,170.8646,26.25,73,83,8.49,MH,1738416971
341,dunedin,-45.8742,170.5036,14.33,80,91,1.34,NZ,1738416972
342,sinabang,2.4803,96.3801,26.63,78,52,1.25,ID,1738416973
343,igarka,67.4667,86.5833,-29.96,97,80,1.8,RU,1738416975
344,ta`u,-14.2336,-169.5144,27.95,79,68,7.77,AS,1738416976
345,luwingu,-10.2621,29.9271,23.98,70,26,1.9,ZM,1738416857
346,isangel,-19.55,169.2667,25.01,92,100,8.07,VU,1738416978
347,tolanaro,-25.0319,46.9987,27.04,83,75,6.17,MG,1738416980
348,nar'yan-mar,67.6713,53.087,-18.16,98,90,4.26,RU,1738416981
349,port isabel,26.0734,-97.2086,12.02,82,0,2.57,US,1738416982
350,xacmaz,41.4635,48.806,6.61,81,87,2.49,AZ,1738416983
351,ambatondrazaka,-17.8333,48.4167,24.71,82,98,4.39,MG,1738416984
352,kidal,18.4411,1.4078,27.28,10,99,2.69,ML,1738416986
353,xinyu,27.8043,114.9334,8.42,92,100,2.86,CN,1738416987
354,kirensk,57.7853,108.1119,-25.37,100,98,0.69,RU,1738416988
355,mzimba,-11.9,33.6,23.35,72,100,2.06,MW,1738416989
356,umarizal,-5.9906,-37.8144,32.67,33,50,4.5,BR,1738416990
357,cachoeira do sul,-30.0392,-52.8939,29.91,45,0,1.72,BR,1738416873
358,deming,32.2687,-107.7586,-3.06,46,0,2.57,US,1738416993
359,arraial do cabo,-22.9661,-42.0278,30.98,58,40,6.69,BR,1738416830
360,saint-pierre,-21.3393,55.4781,30.82,66,0,10.29,RE,1738416996
